Altium Designer Pick and Place Locations
C:\applications\hardware\pca10111\trunk\production_files\400479_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       12/05/21
Time:       09:03
Revision:   20803
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L1","4.7nH","TopLayer","INDC0603X03L_C","13.9999","8.6699","180","Inductor, 350mA, ±3%"
"C3","1.0pF","TopLayer","CAPC0603X03L_C","14.9000","8.3700","90","Capacitor, NP0, ±0.05pF, 50V"
"C15","12pF","TopLayer","CAPC0603X03L_C","23.8000","3.9950","270","Capacitor, NP0, ±2%"
"C16","12pF","TopLayer","CAPC0603X03L_C","24.4000","3.9950","270","Capacitor, NP0, ±2%"
"X2","32.768kHz","TopLayer","XTAL_2012","24.1000","5.3950","0","XTAL SMD 2012, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"U1","nRF52833-QDAA","TopLayer","QFN40P500X500X50_HS-41N","18.6000","7.9700","180","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C6","4.7µF","TopLayer","CAPC1608X06L","22.8750","8.9700","0","Capacitor, X7R, ±10%, 6.3V"
"C8","820pF","TopLayer","CAPC0603X03L_C","15.2000","10.9872","90","Capacitor, X7R, ±10%"
"C7","100nF","TopLayer","CAPC0603X03L_C","17.5250","11.7700","90","Capacitor, X5R, ±10%"
"C5","100nF","TopLayer","CAPC0603X03L_C","22.3750","5.3450","270","Capacitor, X5R, ±10%"
"L3","10µH","TopLayer","INDC1608X06L","20.6000","3.3700","90","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"L4","15nH","TopLayer","INDC1005X04L","19.0212","2.5200","0","Inductor, 320mA, ±5%"
"C4","1.2pF","TopLayer","CAPC0603X03L_C","13.1000","8.3700","90","Capacitor, C0G, ±0.1pF, 50V"
"C12","1.0µF","TopLayer","CAPC1005X04L","21.6000","3.6700","270","Capacitor, X5R, ±5%, 6.3V"
"C17","4.7µF","TopLayer","CAPC1608X06L","22.8750","10.2450","0","Capacitor, X7S, ±10%, 10V"
"C19","4.7µF","TopLayer","CAPC1608X06L","22.9000","11.4999","0","Capacitor, X7R, ±10%, 6.3V"
"L2","2.2nH","TopLayer","INDC0603X03L_C","12.1999","8.6699","180","Chip Inductor"
"C14","47nF","TopLayer","CAPC0603X03L_C","19.4508","4.0800","180","Capacitor, X5R, ±10%"
"C13","1.0µF","TopLayer","CAPC1005X04L","19.0254","3.3800","0","Capacitor, X5R, ±5%, 6.3V"
"C9","N.C.","TopLayer","CAPC0603X03L_C_NC","14.1804","7.5000","0","Not mounted"
"C2","12pF","TopLayer","CAPC0603X03L_C","13.5962","3.6138","180","Capacitor, NP0, ±2%"
"X1","32MHz","TopLayer","BT-XTAL_1612","13.5962","4.9092","270","XTAL SMD 1612, 32MHz, Cl=8pF, Total Tol: ±40ppm"
"C1","12pF","TopLayer","CAPC0603X03L_C","13.5962","6.1538","0","Capacitor, NP0, ±2%"
"C10","100pF","TopLayer","CAPC0603X03L_C","14.1804","6.9158","180","Capacitor, NP0, ±2%, 25V"
"C11","100nF","TopLayer","CAPC0603X03L_C","15.2000","3.9450","270","Capacitor, X5R, ±10%"
"0.29","CH","TopLayer","Castellated_Hole_0.9mm","15.8750","-0.0630","0","Castellated Hole 0.9mm"
"TP1","Ø1.0mm,SMD","BottomLayer","TP_SMD_D1.0mm","28.0000","5.1200","180","1.0mm circular SMD testpad"
"0.09","CH","TopLayer","Castellated_Hole_0.9mm","10.7950","15.3030","180","Castellated Hole 0.9mm"
